Team	Wins	Losses	WinPercentage	GB	Points/Gm	PointsAllowed/Gm	SRS	Division	Conference	Year
Boston Celtics	53	29	.646	—	108.0	105.4	2.25	Atlantic	East	2017
Toronto Raptors	51	31	.622	2.0	106.9	102.6	3.65	Atlantic	East	2017
New York Knicks	31	51	.378	22.0	104.3	108.0	-3.87	Atlantic	East	2017
Philadelphia 76ers	28	54	.341	25.0	102.4	108.1	-5.83	Atlantic	East	2017
Brooklyn Nets	20	62	.244	33.0	105.8	112.5	-6.74	Atlantic	East	2017
Cleveland Cavaliers	51	31	.622	—	110.3	107.2	2.87	Central	East	2017
Milwaukee Bucks	42	40	.512	9.0	103.6	103.8	-0.45	Central	East	2017
Indiana Pacers	42	40	.512	9.0	105.1	105.3	-0.64	Central	East	2017
Chicago Bulls	41	41	.500	10.0	102.9	102.4	0.03	Central	East	2017
Detroit Pistons	37	45	.451	14.0	101.3	102.5	-1.29	Central	East	2017
Washington Wizards	49	33	.598	—	109.2	107.4	1.36	Southeast	East	2017
Atlanta Hawks	43	39	.524	6.0	103.2	104.0	-1.23	Southeast	East	2017
Miami Heat	41	41	.500	8.0	103.2	102.1	0.77	Southeast	East	2017
Charlotte Hornets	36	46	.439	13.0	104.9	104.7	-0.07	Southeast	East	2017
Orlando Magic	29	53	.354	20.0	101.1	107.6	-6.61	Southeast	East	2017
Utah Jazz	51	31	.622	—	100.7	96.8	4.00	Northwest	West	2017
Oklahoma City Thunder	47	35	.573	4.0	106.6	105.8	1.14	Northwest	West	2017
Portland Trail Blazers	41	41	.500	10.0	107.9	108.5	-0.23	Northwest	West	2017
Denver Nuggets	40	42	.488	11.0	111.7	111.2	0.70	Northwest	West	2017
Minnesota Timberwolves	31	51	.378	20.0	105.6	106.7	-0.64	Northwest	West	2017
Golden State Warriors	67	15	.817	—	115.9	104.3	11.35	Pacific	West	2017
Los Angeles Clippers	51	31	.622	16.0	108.7	104.4	4.42	Pacific	West	2017
Sacramento Kings	32	50	.390	35.0	102.8	106.7	-3.29	Pacific	West	2017
Los Angeles Lakers	26	56	.317	41.0	104.6	111.5	-6.29	Pacific	West	2017
Phoenix Suns	24	58	.293	43.0	107.7	113.3	-5.14	Pacific	West	2017
San Antonio Spurs	61	21	.744	—	105.3	98.1	7.13	Southwest	West	2017
Houston Rockets	55	27	.671	6.0	115.3	109.6	5.84	Southwest	West	2017
Memphis Grizzlies	43	39	.524	18.0	100.5	100.0	0.96	Southwest	West	2017
New Orleans Pelicans	34	48	.415	27.0	104.3	106.4	-1.69	Southwest	West	2017
Dallas Mavericks	33	49	.402	28.0	97.9	100.8	-2.53	Southwest	West	2017
